chr	start	end	group	nSNPS	samps
chr7_24	1054105	1054107	1	1	Pfo_nBr-1
chr7_24	1693503	1693505	1	1	Pfo_Vic-2
chr7_24	2384584	2384586	1	1	Pfo_Lim
chr7_24	2384590	2384592	1	1	Pfo_Lim
chr7_24	2406324	2422374	2	3	Pfo_Bar-3,Pfo_Pad
chr7_24	2790450	2790452	3	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Pad
chr7_24	2865963	2865965	6	1	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1
chr7_24	2909473	2909475	1	1	Pfo_SM
chr7_24	2914627	2914629	1	1	Pfo_Br
chr7_24	2990345	2990347	1	1	Pfo_Lim
chr7_24	3058856	3104226	2	6	Pfo_Bar-3,Pfo_Pad
chr7_24	3119468	3119470	1	1	Pfo_Tan-2
chr7_24	3134273	3134275	1	1	Pfo_nBr-1
chr7_24	3134274	3134276	1	1	Pfo_nBr-1
chr7_24	3176668	3176670	1	1	Pfo_nBr-1
chr7_24	3361326	3361328	1	1	Pfo_Pad
chr7_24	3951863	3951865	1	1	Pfo_nBr-2
chr7_24	3951889	3951891	1	1	Pfo_nBr-2
chr7_24	4236201	4236203	2	1	Pfo_Vic-2,Pfo_nBr-1
chr7_24	4532830	4532832	1	1	Pfo_Vic-2
chr7_24	5205841	5205843	1	1	Pfo_Cha
chr7_24	5287298	5287300	1	1	Pfo_Tan-1
chr7_24	5756655	5756657	3	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Pad
chr7_24	5770973	5770975	1	1	Pfo_Vic-2
chr7_24	5805915	5805917	5	1	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Vic-1
chr7_24	5815464	5815466	5	1	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Vic-1
chr7_24	5919688	5919690	1	1	Pfo_Vic-2
chr7_24	6310859	6310861	1	1	Pfo_Tan-2
chr7_24	6357496	6357498	1	1	Pfo_Olm
chr7_24	6477292	6477294	1	1	Pfo_Cha
chr7_24	6477297	6477299	1	1	Pfo_Cha
chr7_24	6584593	6584595	13	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Pad,Pfo_Tan-1,Pfo_Tan-3,Pfo_Tan-4,Pfo_Vic-1,Pfo_nBr-1,Pfo_nBr-2
chr7_24	6627697	6646198	4	3	Pfo_Br,Pfo_D1,Pfo_Olm,Pfo_SM
chr7_24	6967916	6984883	5	5	Pfo_Br,Pfo_D1,Pfo_Lim,Pfo_Olm,Pfo_SM
chr7_24	7057869	7057871	1	1	Pfo_Pad
chr7_24	7077118	7077120	3	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Pad
chr7_24	7077128	7077130	3	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Pad
chr7_24	7151590	7151592	1	1	Pfo_Tan-2
chr7_24	7237237	7237239	1	1	Pfo_Lim
chr7_24	7252236	7252253	1	3	Pfo_nBr-2
chr7_24	7273528	7273530	2	1	Pfo_Man,Pfo_Tan-2
chr7_24	7330520	7330522	1	1	Pfo_Bar-2
chr7_24	7342236	7342238	1	1	Pfo_D1
chr7_24	7894590	7894592	1	1	Pfo_D1
chr7_24	8292759	8292761	1	1	Pfo_Olm
chr7_24	8312625	8312627	1	1	Pfo_SM
chr7_24	8316911	8316913	1	1	Pfo_SM
chr7_24	8490793	8490795	4	1	Pfo_Br,Pfo_D1,Pfo_Olm,Pfo_SM
chr7_24	8514732	8544015	2	8	Pfo_Bar-3,Pfo_Pad
chr7_24	8603478	8603480	1	1	Pfo_Bar-3
chr7_24	8959297	8959299	1	1	Pfo_Gua
chr7_24	9107474	9107476	1	1	Pfo_Olm
chr7_24	9317258	9317260	1	1	Pfo_Bar-3
chr7_24	9447498	9447500	1	1	Pfo_Bar-3
chr7_24	9584778	9584780	1	1	Pfo_Man
chr7_24	9589486	9589488	1	1	Pfo_nBr-2
chr7_24	9930722	9930724	1	1	Pfo_Bar-3
chr7_24	10104622	10104624	1	1	Pfo_Tan-3
chr7_24	10316706	10316708	1	1	Pfo_Vic-2
chr7_24	10418598	10418600	1	1	Pfo_Bar-2
chr7_24	10650800	10650802	1	1	Pfo_Vic-2
chr7_24	10699183	10699185	1	1	Pfo_Olm
chr7_24	10699184	10699186	1	1	Pfo_Olm
chr7_24	10836977	10836979	1	1	Pfo_Vic-1
chr7_24	10836987	10836989	2	1	Pfo_Vic-1,Pfo_Vic-2
chr7_24	10900775	10900777	2	1	Pfo_Bar-3,Pfo_Pad
chr7_24	10903332	10903334	2	1	Pfo_Bar-3,Pfo_Pad
chr7_24	10918030	10918032	3	1	Pfo_Bar-3,Pfo_Lim,Pfo_Pad
chr7_24	11295527	11295529	1	1	Pfo_Vic-2
chr7_24	11298760	11298762	1	1	Pfo_Pad
chr7_24	11298761	11298763	1	1	Pfo_Pad
chr7_24	11408818	11408820	5	1	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Vic-1
chr7_24	11424540	11424542	1	1	Pfo_Vic-2
chr7_24	11451064	11451066	8	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Pad,Pfo_Vic-1
chr7_24	11454779	11454781	9	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Pad,Pfo_Tan-2,Pfo_Vic-1
chr7_24	11630043	11630045	1	1	Pfo_Gua
chr7_24	11755772	11755774	1	1	Pfo_Bar-2
chr7_24	12054603	12054605	1	1	Pfo_D1
chr7_24	12082691	12082693	1	1	Pfo_nBr-1
chr7_24	12396027	12398783	5	4	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Vic-1
chr7_24	12462835	12462837	1	1	Pfo_Vic-1
chr7_24	12462848	12462850	1	1	Pfo_Vic-1
chr7_24	12661473	12661475	3	1	Pfo_Bar-2,Pfo_Bar-3,Pfo_Pad
chr7_24	12796573	12796575	2	1	Pfo_Tan-2,Pfo_Vic-2
chr7_24	12821620	12821622	1	1	Pfo_Vic-2
chr7_24	12935871	12935873	1	1	Pfo_Man
chr7_24	12935872	12935874	1	1	Pfo_Man
chr7_24	13210223	13210225	1	1	Pfo_nBr-2
chr7_24	13298626	13298634	1	3	Pfo_Tan-3
chr7_24	13366076	13366078	1	1	Pfo_Tan-3
chr7_24	13413143	13413145	1	1	Pfo_Lim
chr7_24	13432823	13432825	1	1	Pfo_Lim
chr7_24	13433868	13433870	2	1	Pfo_Lim,Pfo_Tan-2
chr7_24	13438471	13440298	1	3	Pfo_Lim
chr7_24	13511168	13511170	7	1	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1,Pfo_Vic-2
chr7_24	13527996	13527998	6	1	Pfo_Cha,Pfo_Gua,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1,Pfo_Vic-2
chr7_24	13561961	13561963	5	1	Pfo_Cha,Pfo_Gua,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1
chr7_24	13580378	13580380	5	1	Pfo_Cha,Pfo_Gua,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1
chr7_24	13626128	13626130	1	1	Pfo_Pad
chr7_24	13946294	13946296	1	1	Pfo_Tan-3
chr7_24	13949673	13949675	1	1	Pfo_SM
chr7_24	13991242	13991244	1	1	Pfo_Pad
chr7_24	14046175	14046177	1	1	Pfo_D1
chr7_24	14092957	14092959	1	1	Pfo_nBr-2
chr7_24	14272714	14272716	6	1	Pfo_Bar-3,Pfo_Br,Pfo_D1,Pfo_Olm,Pfo_Pad,Pfo_SM
chr7_24	14426956	14426958	1	1	Pfo_Tan-1
chr7_24	14487039	14487041	1	1	Pfo_Br
chr7_24	14547081	14547083	1	1	Pfo_Pad
chr7_24	14801846	14801848	1	1	Pfo_Pad
chr7_24	14940513	14940515	1	1	Pfo_Lim
chr7_24	15274048	15274050	1	1	Pfo_Man
chr7_24	15549288	15549290	1	1	Pfo_Bar-3
chr7_24	15549306	15549308	1	1	Pfo_Bar-3
chr7_24	15596299	15596301	1	1	Pfo_Vic-2
chr7_24	15845797	15845799	1	1	Pfo_Br
chr7_24	15885383	15885385	1	1	Pfo_Tan-1
chr7_24	15885391	15885393	1	1	Pfo_Tan-1
chr7_24	16036950	16036952	1	1	Pfo_Vic-2
chr7_24	16732357	16732359	1	1	Pfo_nBr-1
chr7_24	16884396	16884398	1	1	Pfo_SM
chr7_24	16886181	16886183	1	1	Pfo_Bar-2
chr7_24	16946492	16946494	1	1	Pfo_Vic-1
chr7_24	17171927	17171929	1	1	Pfo_nBr-2
chr7_24	17735594	17735596	1	1	Pfo_Vic-2
chr7_24	20579168	20579170	8	1	Pfo_Bar-3,Pfo_Br,Pfo_D1,Pfo_Lim,Pfo_Olm,Pfo_Pad,Pfo_SM,Pfo_Vic-2
chr7_24	23037869	23037871	9	1	Pfo_Br,Pfo_D1,Pfo_Olm,Pfo_SM,Pfo_Tan-1,Pfo_Tan-3,Pfo_Tan-4,Pfo_nBr-1,Pfo_nBr-2
chr7_24	23543398	23543400	1	1	Pfo_SM
chr7_24	23633144	23633146	2	1	Pfo_Vic-1,Pfo_nBr-2
chr7_24	23949052	23949054	1	1	Pfo_Tan-1
chr7_24	24300072	24300074	1	1	Pfo_Lim
chr7_24	24513746	24513748	2	1	Pfo_Bar-3,Pfo_Pad
chr7_24	24513759	24513761	2	1	Pfo_Bar-3,Pfo_Pad
chr7_24	24886922	24886924	1	1	Pfo_Vic-2
chr7_24	24905361	24905363	1	1	Pfo_D1
chr7_24	24905362	24905364	1	1	Pfo_D1
chr7_24	27118951	27118953	1	1	Pfo_SM
chr7_24	27271450	27271452	4	1	Pfo_Br,Pfo_D1,Pfo_Olm,Pfo_SM
chr7_24	27297404	27297406	5	1	Pfo_Br,Pfo_D1,Pfo_Olm,Pfo_SM,Pfo_Vic-2
chr7_24	27302532	27302534	10	1	Pfo_Br,Pfo_Cha,Pfo_D1,Pfo_Gua,Pfo_Man,Pfo_Olm,Pfo_SM,Pfo_Tan-2,Pfo_Vic-1,Pfo_Vic-2
chr7_24	27302540	27302542	10	1	Pfo_Br,Pfo_Cha,Pfo_D1,Pfo_Gua,Pfo_Man,Pfo_Olm,Pfo_SM,Pfo_Tan-2,Pfo_Vic-1,Pfo_Vic-2
chr7_24	28532541	28532543	1	1	Pfo_Olm
chr7_24	29020979	29020981	1	1	Pfo_nBr-1
chr7_24	29020981	29020983	1	1	Pfo_nBr-1
chr7_24	29173024	29173026	1	1	Pfo_Lim
chr7_24	29254638	29254640	2	1	Pfo_Br,Pfo_nBr-1
chr7_24	29893622	29893624	5	1	Pfo_Cha,Pfo_Gua,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1
chr7_24	30007782	30007784	1	1	Pfo_Man
chr7_24	30154144	30279256	2	5	Pfo_Bar-3,Pfo_Pad
chr7_24	30375585	30375587	1	1	Pfo_Tan-2
chr7_24	30403085	30403087	5	1	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Vic-1
chr7_24	30413534	30434799	6	4	Pfo_Cha,Pfo_Gua,Pfo_Lim,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1
chr7_24	30579266	30579268	5	1	Pfo_Cha,Pfo_Gua,Pfo_Man,Pfo_Tan-2,Pfo_Vic-1
