chrom	start	end	pop	theta_pi	theta_w	nsites	D	D_dmin	Dprime	theta_H	H	H_hmin	Hprime	E	E_Emin	Eprime
chr10	18878856	18878913	Plat	0.516923	0.524115	3	-0.032058	-0.019423	-0.019423	0.320000	0.642045	0.106667	0.205128	-0.468138	-0.459599	-0.459599
chr10	18878856	18878913	Pmex	0.394737	0.281870	3	0.851093	0.620594	0.461726	0.789474	-1.871112	-0.438596	-0.438596	1.827573	2.214310	0.706841
chr10	18882199	18883315	Plat	0.289231	0.524115	19	-1.047030	-0.634361	-0.634361	0.120000	0.551757	0.200000	0.169231	-0.926840	-0.834750	-0.834750
chr10	18882199	18883315	Pmex	0.789474	0.563739	19	1.073832	0.620594	0.461726	0.526316	0.831108	0.146199	0.277778	-0.081531	-0.081626	-0.081626
chr10	18886137	18886201	Plat	0.270769	0.262057	1	0.060276	0.047057	0.033774	0.880000	-2.975251	-0.660000	-0.660000	2.282833	2.782806	0.837386
chr10	18891392	18892771	Plat	0.147692	0.262057	8	-0.791272	-0.617741	-0.617741	0.080000	0.330583	0.073333	0.141026	-0.672565	-0.819866	-0.819866
chr15	11793672	11793755	Pmex	0.100000	0.281870	1	-1.371416	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr16	12454400	12454515	Plat	0.840000	0.786172	3	0.181138	0.096917	0.069561	0.800000	0.101135	0.022609	0.027027	0.023357	0.019581	0.011392
chr16	12455641	12455740	Plat	0.443077	0.262057	3	1.252443	0.977774	0.701782	0.320000	0.601061	0.133333	0.256410	0.214054	0.260935	0.078519
chr16	12466710	12467329	Plat	0.470769	0.262057	4	1.444041	1.127354	0.809141	0.360000	0.540955	0.120000	0.230769	0.361824	0.441069	0.132724
chr16	12484199	12485546	Plat	0.513846	1.048230	10	-1.455299	-0.721616	-0.721616	0.200000	0.655840	0.185455	0.156923	-1.139145	-0.876062	-0.876062
chr16	12484199	12485546	Pmex	1.000000	0.563739	10	2.075317	1.199378	0.892345	1.263158	-0.831108	-0.146199	-0.146199	1.523756	1.525529	0.486972
chr16	14226905	14227052	Plat	0.507692	0.262057	2	1.699505	1.326793	0.952285	0.440000	0.330583	0.073333	0.141026	0.657364	0.801336	0.241133
chr16	14226905	14227052	Pmex	0.189474	0.281870	2	-0.696726	-0.508034	-0.508034	0.947368	-3.592534	-0.842105	-0.842105	2.396056	2.903091	0.926710
chr16	14228623	14228804	Plat	0.212308	0.262057	2	-0.344209	-0.268722	-0.268722	0.120000	0.450796	0.100000	0.192308	-0.524795	-0.639733	-0.639733
chr16	14234867	14235058	Plat	0.907692	0.786172	3	0.408931	0.218796	0.157038	0.640000	0.676825	0.151304	0.180873	-0.246899	-0.206992	-0.206992
chr16	14239972	14240166	Pmex	0.442105	0.281870	1	1.208282	0.881047	0.655505	0.736842	-1.397097	-0.327485	-0.327485	1.638079	1.984716	0.633551
chr16	14241285	14241388	Plat	0.147692	0.262057	2	-0.791272	-0.617741	-0.617741	0.080000	0.330583	0.073333	0.141026	-0.672565	-0.819866	-0.819866
