chrom	start	end	pop	theta_pi	theta_w	nsites	D	D_dmin	Dprime	theta_H	H	H_hmin	Hprime	E	E_Emin	Eprime
chr10	2978570	2979383	Plat	0.323077	0.262057	10	0.422184	0.329596	0.236562	0.200000	0.601061	0.133333	0.256410	-0.229255	-0.279466	-0.279466
chr10	2978570	2979383	Pmex	0.400000	1.127478	10	-2.062188	-1.000000	-1.000000	1.000000	-1.210947	-1.000000	-1.000000	-0.158485	-0.118601	-0.118601
chr10	12298568	12306099	Plat	1.676923	2.620574	67	-1.224940	-0.509711	-0.509711	2.840000	-1.240602	-0.160851	-0.160851	0.133713	0.095379	0.040790
chr10	12298568	12306099	Pmex	1.689474	1.973087	67	-0.507378	-0.222776	-0.222776	1.736842	-0.064005	-0.011016	-0.011016	-0.179902	-0.138161	-0.138161
chr10	13587076	13589492	Plat	1.120000	1.310287	24	-0.436654	-0.205566	-0.205566	1.480000	-0.644724	-0.099574	-0.099574	0.189511	0.147540	0.063097
chr10	13587076	13589492	Pmex	0.289474	0.563739	24	-1.304697	-0.754017	-0.754017	0.105263	0.581776	0.230263	0.184211	-0.998837	-0.897024	-0.897024
chr10	13589858	13592431	Plat	1.000000	1.572344	28	-1.136698	-0.515251	-0.515251	1.000000	0.000000	0.000000	0.000000	-0.547441	-0.383520	-0.383520
chr10	13589858	13592431	Pmex	1.252632	1.409348	28	-0.371349	-0.172339	-0.172339	0.736842	0.891161	0.114620	0.217778	-0.690070	-0.586732	-0.586732
chr10	13597388	13598106	Plat	0.360000	0.524115	13	-0.731566	-0.443232	-0.443232	0.200000	0.521662	0.086667	0.166667	-0.743359	-0.729800	-0.729800
chr10	13599695	13600758	Plat	0.400000	0.524115	9	-0.553260	-0.335202	-0.335202	0.200000	0.652077	0.236364	0.200000	-0.743359	-0.669500	-0.669500
chr10	13599695	13600758	Pmex	0.668421	0.563739	9	0.497977	0.287794	0.214120	0.947368	-0.880975	-0.348684	-0.348684	0.835776	0.750584	0.879358
chr10	13601226	13601895	Plat	0.153846	0.524115	8	-1.650527	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	13601226	13601895	Pmex	0.442105	0.281870	8	1.208282	0.881047	0.655505	0.315789	0.598756	0.140351	0.266667	0.122125	0.147968	0.047234
chr10	13602567	13604015	Plat	0.230769	0.786172	26	-1.869004	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	13602567	13604015	Pmex	3.052632	2.818696	26	0.306745	0.128628	0.095700	5.368421	-2.374529	-0.257310	-0.257310	1.401552	1.112261	0.355050
chr10	13604150	13605202	Plat	0.147692	0.262057	10	-0.791272	-0.617741	-0.617741	0.080000	0.330583	0.073333	0.141026	-0.672565	-0.819866	-0.819866
chr10	13604150	13605202	Pmex	0.100000	0.281870	10	-1.371416	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	13605311	13607837	Plat	0.372308	0.786172	29	-1.392709	-0.745161	-0.745161	0.160000	0.536792	0.120000	0.143451	-1.057665	-0.886713	-0.886713
chr10	13605311	13607837	Pmex	0.200000	0.563739	29	-1.730328	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	13607920	13609227	Plat	0.516923	0.262057	10	1.763371	1.376653	0.988071	0.560000	-0.210371	-0.046667	-0.046667	1.100674	1.341737	0.403748
chr10	13607920	13609227	Pmex	0.394737	0.281870	10	0.851093	0.620594	0.461726	0.789474	-1.871112	-0.438596	-0.438596	1.827573	2.214310	0.706841
chr10	13609368	13615068	Plat	3.187692	3.406746	73	-0.226160	-0.091017	-0.091017	2.800000	0.334693	0.048462	0.060577	-0.290903	-0.199146	-0.199146
chr10	13609368	13615068	Pmex	1.872205	1.973087	73	-0.180476	-0.079940	-0.079940	1.554180	0.429721	0.074151	0.093045	-0.319001	-0.245876	-0.245876
chr11	2172952	2175391	Pmex	0.336842	0.281870	4	0.414529	0.302263	0.224886	NA	NA	NA	NA	NA	NA	NA
chr11	2175441	2185480	Plat	5.809231	5.765262	102	0.028184	0.010795	0.007748	4.440000	0.755813	0.121088	0.125387	-0.387867	-0.252659	-0.252659
chr11	2175441	2185480	Pmex	3.531579	3.382435	102	0.166111	0.068338	0.050844	3.947368	-0.368039	-0.047249	-0.047249	0.262030	0.197797	0.085369
chr11	2185833	2192202	Plat	2.046154	2.882631	58	-0.999917	-0.410747	-0.410747	1.360000	0.678398	0.217561	0.123409	-0.850932	-0.559250	-0.559250
chr11	2185833	2192202	Pmex	1.752632	1.409348	58	0.813431	0.377505	0.280866	1.526316	0.391019	0.050292	0.095556	0.120023	0.102049	0.032576
chr11	2192240	2199077	Plat	3.252308	4.192918	87	-0.806644	-0.317543	-0.317543	3.720000	-0.339608	-0.053333	-0.053333	-0.186942	-0.124684	-0.124684
chr11	2192240	2199077	Pmex	3.831579	4.228044	87	-0.360340	-0.145329	-0.145329	5.789474	-1.440080	-0.206094	-0.206094	0.586846	0.427895	0.230573
chr11	6241079	6242463	Plat	1.547692	1.834402	34	-0.502387	-0.221237	-0.221237	0.880000	0.936795	0.122254	0.196380	-0.798757	-0.598595	-0.598595
chr11	6241079	6242463	Pmex	1.121053	1.691218	34	-1.161981	-0.522503	-0.522503	0.210526	1.379383	0.650376	0.298276	-1.294230	-0.933628	-0.933628
chr11	6242558	6243244	Plat	0.295385	0.524115	16	-1.019598	-0.617741	-0.617741	0.160000	0.441406	0.073333	0.141026	-0.835099	-0.819866	-0.819866
chr11	6243365	6248133	Plat	1.824615	2.358516	40	-0.758349	-0.320429	-0.320429	1.160000	0.769967	0.154286	0.148352	-0.803010	-0.555250	-0.555250
chr11	6243365	6248133	Pmex	0.626316	0.563739	40	0.297680	0.172037	0.127997	1.526316	-2.842390	-0.500000	-0.500000	2.097072	2.099513	0.670196
chr11	6248259	6249088	Plat	0.507692	0.262057	12	1.699505	1.326793	0.952285	0.440000	0.330583	0.073333	0.141026	0.657364	0.801336	0.241133
chr11	6248259	6249088	Pmex	0.389474	0.845609	12	-1.614600	-0.836011	-0.836011	1.105263	-1.750228	-0.421053	-0.421053	0.410222	0.350720	0.224928
chr11	6249207	6250089	Plat	2.012308	1.310287	11	1.610937	0.758391	0.544323	2.880000	-1.553950	-0.188000	-0.188000	1.752831	1.413791	0.425430
chr11	6249207	6250089	Pmex	0.394737	0.281870	11	0.851093	0.620594	0.461726	0.263158	0.623704	0.146199	0.277778	-0.067369	-0.081626	-0.081626
chr11	6250235	6256504	Plat	1.670769	1.310287	47	0.827204	0.389428	0.279506	1.520000	0.270013	0.041702	0.061791	0.234178	0.182314	0.077969
chr11	6250235	6256504	Pmex	1.315789	0.845609	47	1.664317	0.861754	0.641151	1.052632	0.643466	0.097466	0.185185	0.327071	0.301030	0.096093
chr11	6256701	6257767	Plat	0.212308	0.262057	17	-0.344209	-0.268722	-0.268722	0.120000	0.450796	0.100000	0.192308	-0.524795	-0.639733	-0.639733
chr11	6256701	6257767	Pmex	0.557895	0.845609	17	-1.018433	-0.527327	-0.527327	1.263158	-1.724489	-0.261209	-0.261209	0.659677	0.607155	0.193813
chr11	6257900	6258319	Plat	0.212308	0.262057	8	-0.344209	-0.268722	-0.268722	0.120000	0.450796	0.100000	0.192308	-0.524795	-0.639733	-0.639733
chr11	6257900	6258319	Pmex	0.526316	0.563739	8	-0.178025	-0.102885	-0.102885	0.315789	0.664887	0.116959	0.222222	-0.540184	-0.540813	-0.540813
chr11	6258427	6259323	Plat	0.876923	1.310287	12	-0.994446	-0.468162	-0.468162	1.400000	-0.936778	-0.200000	-0.200000	0.100179	0.075371	0.053094
chr11	6259475	6261062	Plat	0.418462	0.524115	11	-0.470965	-0.285342	-0.285342	0.240000	0.581853	0.096667	0.185897	-0.651619	-0.639733	-0.639733
chr11	6259475	6261062	Pmex	0.505263	0.281870	11	1.684534	1.228317	0.913876	0.631579	-0.598756	-0.140351	-0.140351	1.259090	1.525529	0.486972
chr11	6261230	6268995	Plat	3.600000	5.765262	92	-1.387969	-0.531620	-0.531620	3.480000	0.066240	0.012893	0.010909	-0.668831	-0.429136	-0.429136
chr11	6261230	6268995	Pmex	1.310526	1.127478	92	0.518887	0.251620	0.187207	1.157895	0.308048	0.058704	0.078378	0.037814	0.031370	0.016243
chr11	6269074	6269380	Plat	0.270769	0.262057	7	0.060276	0.047057	0.033774	0.160000	0.540955	0.120000	0.230769	-0.377025	-0.459599	-0.459599
