chrom	start	end	pop	theta_pi	theta_w	nsites	D	D_dmin	Dprime	theta_H	H	H_hmin	Hprime	E	E_Emin	Eprime
chr10	4542968	4569183	Plat	9.873846	12.316697	251	-0.764141	-0.280745	-0.280745	6.960000	0.807780	0.119495	0.124951	-0.753547	-0.478418	-0.478418
chr10	4542968	4569183	Pmex	5.542105	5.073653	251	0.359697	0.143098	0.106466	5.894737	-0.222059	-0.031485	-0.031485	0.259414	0.187059	0.103589
chr10	8396631	8399851	Plat	0.907692	1.048230	32	-0.382728	-0.189777	-0.189777	0.560000	0.726568	0.129143	0.177394	-0.655677	-0.525979	-0.525979
chr10	8396631	8399851	Pmex	3.500000	2.818696	32	0.893350	0.374611	0.278713	2.684211	0.836482	0.116541	0.168478	-0.073925	-0.056091	-0.056091
chr10	8399923	8402361	Plat	2.092308	1.834402	27	0.451916	0.199011	0.142837	2.280000	-0.263339	-0.034366	-0.034366	0.372930	0.279477	0.106971
chr10	8399923	8402361	Pmex	1.836842	1.691218	27	0.296779	0.133451	0.099289	2.000000	-0.247173	-0.037081	-0.037081	0.269898	0.216225	0.093322
chr10	15483340	15490627	Plat	1.498462	1.048230	33	1.226128	0.607980	0.436368	1.680000	-0.379359	-0.067429	-0.067429	0.848447	0.680619	0.323691
chr10	15483340	15490627	Pmex	2.352632	2.254957	33	0.155775	0.067132	0.049947	1.894737	0.559015	0.109023	0.116000	-0.243058	-0.180852	-0.180852
chr10	15490811	15497548	Plat	1.286154	1.310287	39	-0.055378	-0.026071	-0.026071	1.120000	0.297565	0.063529	0.066998	-0.212485	-0.159866	-0.159866
chr10	15490811	15497548	Pmex	1.494737	1.409348	39	0.202334	0.093901	0.069863	2.263158	-1.327647	-0.219549	-0.219549	0.876109	0.712207	0.329573
chr10	15497619	15499093	Plat	0.147692	0.262057	2	-0.791272	-0.617741	-0.617741	0.080000	0.330583	0.073333	0.141026	-0.672565	-0.819866	-0.819866
chr10	15497619	15499093	Pmex	0.189474	0.281870	2	-0.696726	-0.508034	-0.508034	0.105263	0.399170	0.093567	0.177778	-0.635852	-0.770406	-0.770406
chr10	15499167	15499382	Pmex	0.189474	0.281870	5	-0.696726	-0.508034	-0.508034	0.105263	0.399170	0.093567	0.177778	-0.635852	-0.770406	-0.770406
chr10	15499613	15506009	Plat	0.830769	1.048230	27	-0.592215	-0.293652	-0.293652	2.000000	-2.443326	-0.316667	-0.316667	1.278197	1.071537	0.322441
chr10	15499613	15506009	Pmex	0.963158	1.127478	27	-0.465801	-0.225877	-0.225877	0.578947	0.775431	0.106725	0.202778	-0.681950	-0.598211	-0.598211
chr10	15506396	15508523	Plat	1.775385	2.358516	23	-0.828276	-0.349975	-0.349975	1.920000	-0.167539	-0.027246	-0.027246	-0.293808	-0.206992	-0.206992
chr10	15506396	15508523	Pmex	2.084211	1.691218	23	0.800909	0.360142	0.267948	2.105263	-0.031893	-0.003899	-0.003899	0.361905	0.301030	0.096093
chr10	15508749	15510727	Plat	1.495385	1.834402	36	-0.594043	-0.261599	-0.261599	0.800000	0.975648	0.282500	0.197552	-0.865710	-0.603360	-0.603360
chr10	15508749	15510727	Pmex	0.731579	0.845609	36	-0.403636	-0.208996	-0.208996	0.421053	0.759290	0.182663	0.210714	-0.670747	-0.573457	-0.573457
