chr	start	end	group	nSNPS	samps
chr4	425931	2163549	6	61	NA
chr4	2281512	2281514	5	1	NA
chr4	2325491	2724634	6	10	NA
chr4	2735641	2735643	7	1	NA
chr4	2741850	3518286	6	32	NA
chr4	3518327	3518329	7	1	NA
chr4	3529168	3825251	6	14	NA
chr4	3825518	3825520	5	1	NA
chr4	3830057	4696405	6	35	NA
chr4	4736282	4736284	7	1	NA
chr4	4736557	5909640	6	30	NA
chr4	5938439	5938441	7	1	NA
chr4	6006578	6064943	6	4	NA
chr4	6238038	6889019	1	15	NA
chr4	7222247	7222249	1	1	NA
chr4	7222252	7222254	1	1	NA
chr4	8504810	8504812	19	1	NA
chr4	9472567	9472569	1	1	NA
chr4	9800732	9800734	19	1	NA
chr4	11745017	11745019	1	1	NA
chr4	11745024	11745026	1	1	NA
chr4	11918658	11918660	1	1	NA
chr4	12623762	12623764	1	1	NA
chr4	12623778	12623780	1	1	NA
chr4	12988364	12988366	19	1	NA
chr4	14079249	14079251	1	1	NA
chr4	14079261	14079263	1	1	NA
chr4	14151187	14151189	1	1	NA
chr4	15895087	15895089	1	1	NA
chr4	16139196	16139198	1	1	NA
chr4	16283796	16283798	19	1	NA
chr4	16432627	16432629	1	1	NA
chr4	18046153	18046155	1	1	NA
chr4	20924911	20924913	1	1	NA
chr4	21015930	21015932	1	1	NA
chr4	21305560	21305562	1	1	NA
chr4	21383351	21383353	1	1	NA
chr4	22772662	22772664	1	1	NA
chr4	23462368	23462370	1	1	NA
chr4	23805507	23805509	1	1	NA
chr4	23805513	23805515	1	1	NA
chr4	23869749	23869751	1	1	NA
chr4	24778296	24778298	1	1	NA
chr4	24928200	24928202	1	1	NA
chr4	26026128	26026130	1	1	NA
chr4	26584965	26584967	1	1	NA
chr4	27891389	27891391	1	1	NA
chr4	28467214	28467216	1	1	NA
chr4	29059159	29059161	1	1	NA
chr4	29686246	29686248	1	1	NA
chr4	32934547	32934549	1	1	NA
chr4	35241409	35241411	1	1	NA
chr4	35522331	35522333	1	1	NA
chr4	35522333	35522335	1	1	NA
chr4	35522961	35522963	1	1	NA
chr4	35522966	35522968	1	1	NA
chr4	35564488	35564490	1	1	NA
chr4	35937396	35937398	1	1	NA
