chr	start	end	group	nSNPS	samps
chr12	123340	372845	1	12	NA
chr12	411081	411083	1	1	NA
chr12	457006	544977	1	6	NA
chr12	566743	566745	2	1	NA
chr12	566760	1628910	1	16	NA
chr12	1858421	1858423	1	1	NA
chr12	1858423	1858425	1	1	NA
chr12	2611162	2611164	2	1	NA
chr12	3063354	3063356	1	1	NA
chr12	3063657	3063659	1	1	NA
chr12	3128783	3128785	1	1	NA
chr12	4155585	4155587	1	1	NA
chr12	4224020	4224022	1	1	NA
chr12	4313694	4313696	19	1	NA
chr12	4452415	4452417	1	1	NA
chr12	5351297	5351299	1	1	NA
chr12	5539858	5539860	1	1	NA
chr12	5583317	5586383	1	3	NA
chr12	5734254	5734256	2	1	NA
chr12	6407076	6407078	1	1	NA
chr12	6676514	6676516	19	1	NA
chr12	6770918	6770920	1	1	NA
chr12	6861026	6861028	1	1	NA
chr12	6861030	6861032	1	1	NA
chr12	7222562	7222564	1	1	NA
chr12	7881354	7881356	1	1	NA
chr12	8046664	8046666	1	1	NA
chr12	8787383	8787385	2	1	NA
chr12	10604939	10604941	2	1	NA
chr12	10613608	10613610	1	1	NA
chr12	11227668	11227670	1	1	NA
chr12	12286400	12286402	1	1	NA
chr12	12438812	12438814	1	1	NA
chr12	12841283	12841285	1	1	NA
chr12	13121831	13121833	2	1	NA
chr12	13440446	13440448	17	1	NA
chr12	14373951	14373953	1	1	NA
chr12	15762253	15762255	1	1	NA
chr12	16262459	16262461	1	1	NA
chr12	17024954	17024956	18	1	NA
chr12	17573057	17573059	1	1	NA
chr12	17660903	17660905	1	1	NA
chr12	17677185	17677187	1	1	NA
chr12	18014318	18014320	1	1	NA
chr12	18014323	18014325	1	1	NA
chr12	18350417	18350419	1	1	NA
chr12	19856157	19856159	19	1	NA
chr12	19919008	19919010	1	1	NA
chr12	19919010	19919012	1	1	NA
chr12	24061500	24061502	1	1	NA
chr12	24061503	24061505	1	1	NA
chr12	27122598	27122600	1	1	NA
chr12	27122602	27122604	1	1	NA
chr12	27862772	27862774	1	1	NA
chr12	28332811	28332813	1	1	NA
chr12	28529134	28529136	18	1	NA
chr12	28775999	28776001	1	1	NA
chr12	28892000	28892021	1	3	NA
chr12	29249157	29249159	1	1	NA
chr12	29742202	29742204	1	1	NA
chr12	30298242	30298244	1	1	NA
chr12	30298248	30298250	1	1	NA
chr12	30770247	30770249	1	1	NA
chr12	30881448	30881450	1	1	NA
chr12	31030075	31030077	1	1	NA
chr12	31038916	31038918	1	1	NA
chr12	31842312	32005590	1	10	NA
chr12	32005600	32005602	2	1	NA
chr12	32017354	33142699	1	40	NA
chr12	33164526	33164528	2	1	NA
chr12	33165478	34045180	1	8	NA
chr12	34160933	34160935	2	1	NA
chr12	34226986	34226988	1	1	NA
chr12	34291298	34291300	1	1	NA
chr12	34501572	34501574	2	1	NA
chr12	34502013	34505129	1	17	NA
chr12	34505824	34505826	2	1	NA
chr12	34505921	34508287	1	5	NA
chr12	34526114	34526116	2	1	NA
chr12	34526117	34526119	2	1	NA
chr12	34533731	34539831	1	3	NA
chr12	34539939	34539941	2	1	NA
chr12	34540034	34540036	2	1	NA
chr12	34584672	34584674	1	1	NA
chr12	34584674	34584676	1	1	NA
chr12	34592659	34592661	2	1	NA
chr12	34652235	34800445	1	4	NA
chr12	34817036	34817038	2	1	NA
chr12	34821568	34929491	1	3	NA
