chr	start	end	group	nSNPS	samps
chr3	9984	9986	1	1	NA
chr3	946632	946634	1	1	NA
chr3	962793	962795	2	1	NA
chr3	986621	986623	1	1	NA
chr3	1028767	1028769	1	1	NA
chr3	1039368	1039370	1	1	NA
chr3	1039814	1039816	1	1	NA
chr3	1065857	1065859	1	1	NA
chr3	1065881	1065883	1	1	NA
chr3	1114516	1114518	1	1	NA
chr3	1114797	1114799	1	1	NA
chr3	1130843	1130845	1	1	NA
chr3	1153584	1153586	1	1	NA
chr3	1173749	1173751	1	1	NA
chr3	1173779	1173781	1	1	NA
chr3	1185697	1185699	1	1	NA
chr3	1185702	1185704	1	1	NA
chr3	1186766	1186768	1	1	NA
chr3	1193974	1193976	1	1	NA
chr3	1233767	1233769	1	1	NA
chr3	1255897	1255899	1	1	NA
chr3	1282085	1282087	1	1	NA
chr3	1308043	1308045	1	1	NA
chr3	1326834	1326836	1	1	NA
chr3	1329366	1329368	1	1	NA
chr3	1343451	1343453	1	1	NA
chr3	1396441	1396443	1	1	NA
chr3	1435861	1435863	1	1	NA
chr3	1440591	1440593	1	1	NA
chr3	1440600	1440602	1	1	NA
chr3	1488487	1488489	1	1	NA
chr3	1494696	1494698	1	1	NA
chr3	1578817	1578819	1	1	NA
chr3	1582848	1582850	1	1	NA
chr3	1582860	1582862	1	1	NA
chr3	1594065	1594067	1	1	NA
chr3	1632061	1632063	1	1	NA
chr3	1666837	1666839	1	1	NA
chr3	1676809	1676811	2	1	NA
chr3	1702664	1702666	1	1	NA
chr3	1707689	1707691	2	1	NA
chr3	1708549	1708551	1	1	NA
chr3	1737370	1737372	1	1	NA
chr3	1916094	1916096	1	1	NA
chr3	1945734	1945736	1	1	NA
chr3	2576493	2576495	1	1	NA
chr3	2739941	2739943	1	1	NA
chr3	2751364	2751366	1	1	NA
chr3	2820861	2820863	1	1	NA
chr3	2877503	2877505	1	1	NA
chr3	2877505	2877507	1	1	NA
chr3	2939505	2939507	1	1	NA
chr3	2942973	2942975	1	1	NA
chr3	2964694	2964696	1	1	NA
chr3	3001021	3001023	1	1	NA
