chr	start	end	group
chr20	284488	284490	pmex
chr20	284509	284511	pmex
chr20	332172	332174	pmex
chr20	372328	372330	plat
chr20	564462	564464	pmex
chr20	564613	564615	plat
chr20	808015	808017	plat
chr20	812895	812897	plat
chr20	855383	855394	plat
chr20	906588	906590	pmex
chr20	921384	921386	pmex
chr20	984988	984990	plat
chr20	1013114	1013116	plat
chr20	1048785	1048787	pmex
chr20	1053443	1053445	pmex
chr20	1082673	1082675	plat
chr20	1106216	1106218	pmex
chr20	1139021	1139023	pmex
chr20	1174599	1174601	plat
chr20	1197383	1197385	plat
chr20	1243515	1243517	plat
chr20	1247377	1247379	plat
chr20	1255202	1255204	plat
chr20	1289278	1289280	plat
chr20	1298612	1298614	pmex
chr20	1365855	1365857	plat
chr20	1416483	1416485	pmex
chr20	1424543	1424545	plat
chr20	1442051	1442053	plat
chr20	1477417	1477419	pmex
chr20	1523367	1523369	pmex
chr20	1523379	1523381	pmex
chr20	1538229	1538231	pmex
chr20	1545642	1545644	plat
chr20	1545644	1545646	plat
chr20	1552419	1552421	pmex
chr20	1567238	1567240	pmex
chr20	1589003	1589005	plat
chr20	1601596	1601598	pmex
chr20	1635469	1635471	pmex
chr20	1635472	1635474	pmex
chr20	1648188	1648190	pmex
chr20	1660846	1660848	plat
chr20	1662813	1662815	plat
chr20	1667927	1667929	pmex
chr20	1708134	1708136	plat
chr20	1735862	1735864	pmex
chr20	1739297	1739299	pmex
chr20	1754888	1754890	pmex
chr20	1784311	1784313	pmex
chr20	1811486	1811488	plat
chr20	1812890	1812892	plat
chr20	1812894	1812896	plat
chr20	1819748	1819750	pmex
chr20	1825239	1825241	plat
chr20	1830692	1830694	pmex
chr20	1833492	1833494	pmex
chr20	1840938	1840940	pmex
chr20	1849583	1849585	plat
chr20	1883678	1883680	pmex
chr20	1889669	1889671	plat
chr20	1941659	1941661	pmex
chr20	1941660	1941662	pmex
chr20	1967804	1967806	plat
chr20	2001319	2001321	pmex
chr20	2074568	2074570	pmex
chr20	2146080	2146082	pmex
chr20	2146089	2146091	pmex
chr20	2146451	2146453	plat
chr20	2172561	2172563	pmex
chr20	2180730	2180732	pmex
chr20	2229536	2229538	pmex
chr20	2229541	2229543	pmex
chr20	2257673	2257675	plat
chr20	2257756	2257758	pmex
chr20	2278333	2278335	pmex
chr20	2291987	2291989	plat
chr20	2345965	2345967	plat
chr20	2494149	2494151	plat
chr20	2568100	2568102	plat
chr20	2687794	2687796	pmex
chr20	2918686	2918688	pmex
chr20	2945862	2945864	plat
chr20	2945864	2945866	plat
chr20	2951008	2951010	pmex
chr20	3025204	3025206	pmex
chr20	3025206	3025208	pmex
chr20	3035476	3035478	pmex
chr20	3065191	3065193	pmex
chr20	3109376	3109378	plat
chr20	3150498	3150500	plat
chr20	3153867	3153869	pmex
chr20	3153870	3153872	pmex
chr20	3164906	3164908	pmex
chr20	3168719	3168721	mix
chr20	3177859	3177861	plat
chr20	3181883	3181885	pmex
chr20	3221591	3221593	plat
chr20	3254282	3254284	plat
chr20	3261784	3261786	pmex
chr20	3267370	3267372	plat
chr20	3288525	3288527	pmex
chr20	3298358	3298360	plat
chr20	3304760	3304762	pmex
chr20	3319818	3319820	pmex
chr20	3319828	3319830	pmex
chr20	3327611	3327613	plat
chr20	3350719	3350721	pmex
chr20	3366077	3366079	pmex
chr20	3380062	3380064	pmex
chr20	3386612	3386614	plat
chr20	3392178	3392180	plat
chr20	3415804	3415806	pmex
chr20	3487059	3487061	pmex
chr20	3487139	3487141	plat
chr20	3503597	3503599	pmex
chr20	3538389	3538391	pmex
chr20	3550984	3550986	plat
chr20	3550985	3550987	plat
chr20	3610561	3610563	plat
chr20	3624280	3624282	pmex
chr20	3685046	3685048	pmex
chr20	3685048	3685050	pmex
chr20	3698661	3698663	pmex
chr20	3741392	3741394	plat
chr20	3760010	3760012	pmex
chr20	3761148	3761150	pmex
chr20	3763570	3763572	pmex
chr20	3771267	3771269	pmex
chr20	3771272	3771274	pmex
chr20	3785390	3785392	pmex
chr20	3785613	3785615	pmex
chr20	3824359	3824361	pmex
chr20	3866051	3866053	pmex
chr20	3866052	3866054	pmex
chr20	3888506	3888508	pmex
chr20	3941505	3941507	pmex
chr20	4007161	4007163	pmex
chr20	4041230	4041232	pmex
chr20	4041238	4041240	pmex
chr20	4051499	4051501	pmex
chr20	4112504	4112506	plat
chr20	4112513	4112515	plat
