chr	start	end	group
chr8	257742	257744	plat
chr8	323446	323448	plat
chr8	326137	326139	pmex
chr8	358738	358740	pmex
chr8	366314	410231	pmex
chr8	417428	417430	mix
chr8	418490	442527	pmex
chr8	458608	458610	pmex
chr8	463575	530535	pmex
chr8	541494	541496	pmex
chr8	541950	616530	pmex
chr8	627413	627415	pmex
chr8	628933	890904	pmex
chr8	903777	903779	mix
chr8	905001	956935	pmex
chr8	957027	957029	pmex
chr8	982451	1001943	pmex
chr8	1031080	1031082	plat
chr8	1050250	1050252	plat
chr8	1051815	1051817	pmex
chr8	1051832	1051834	pmex
chr8	1086914	1086916	pmex
chr8	1182556	1182558	pmex
chr8	1182558	1182560	pmex
chr8	1184413	1184415	pmex
chr8	1184416	1184418	pmex
chr8	1184814	1184816	plat
chr8	1187782	1187784	plat
chr8	1198355	1198357	pmex
chr8	1198356	1198358	pmex
chr8	1199475	1199477	plat
chr8	1204692	1204694	pmex
chr8	1315608	1315610	pmex
chr8	1315618	1315620	pmex
chr8	1364231	1364233	pmex
chr8	1370269	1370271	pmex
chr8	1380116	1380118	pmex
chr8	1384923	1384925	plat
chr8	1415893	1415895	pmex
chr8	1417265	1417267	plat
chr8	1426498	1426500	pmex
chr8	1463602	1463604	pmex
chr8	1531504	1531506	pmex
chr8	1648488	1648490	pmex
chr8	1689544	1689546	mix
chr8	1701973	1701975	pmex
chr8	1701990	1701992	pmex
chr8	1727745	1727747	pmex
chr8	1866284	1866286	plat
chr8	1887648	1887650	pmex
chr8	1947469	1947471	plat
chr8	1953711	1953713	pmex
chr8	2113511	2113513	pmex
chr8	2117643	2117645	pmex
chr8	2382005	2382007	pmex
chr8	2439282	2439284	plat
chr8	2574630	2574632	plat
chr8	2590191	2590193	pmex
chr8	2700251	2700253	pmex
chr8	2701931	2701933	pmex
chr8	2702658	2702660	pmex
chr8	2704871	2706225	pmex
chr8	2724325	2724327	pmex
chr8	2760396	2760398	pmex
chr8	2760399	2760401	pmex
chr8	2781823	2781825	pmex
chr8	2785916	2785918	pmex
chr8	2819392	2819394	pmex
chr8	2889205	2889207	pmex
chr8	2917888	2917890	pmex
chr8	2921023	2921025	plat
chr8	3048035	3048037	plat
chr8	3060644	3060646	plat
chr8	3061747	3061749	pmex
chr8	3074546	3074565	pmex
chr8	3075618	3075620	plat
chr8	3091270	3091272	pmex
chr8	3129893	3129895	pmex
chr8	3132339	3132341	pmex
chr8	3148167	3148169	pmex
chr8	3282657	3282659	pmex
chr8	3294616	3294618	plat
chr8	3344291	3344293	plat
chr8	3348106	3348108	plat
chr8	3359066	3359068	pmex
chr8	3447739	3447741	plat
chr8	3465153	3465155	pmex
chr8	3502730	3502732	pmex
chr8	3519476	3519478	pmex
chr8	3522744	3522746	plat
chr8	3671170	3671172	pmex
chr8	3684230	3684232	pmex
chr8	3700372	3700374	pmex
chr8	3707983	3707985	pmex
chr8	3735576	3735578	plat
chr8	3738087	3738089	pmex
chr8	3793327	3793329	pmex
chr8	3793372	3793374	pmex
chr8	3817194	3817196	plat
chr8	3835741	3835743	pmex
chr8	3874856	3874858	pmex
chr8	3973004	3973006	plat
chr8	4019614	4019616	pmex
chr8	4043159	4043161	pmex
chr8	4152806	4152808	pmex
chr8	4184606	4184608	pmex
chr8	4195773	4195775	pmex
chr8	4213742	4213744	pmex
chr8	4232083	4232085	plat
chr8	4263252	4263254	pmex
