chr	start	end	group
chr11	17030	17032	plat
chr11	17279	17281	plat
chr11	26958	116553	pmex
chr11	138291	138293	pmex
chr11	146116	253320	pmex
chr11	253352	253354	pmex
chr11	253763	290281	pmex
chr11	294143	294145	pmex
chr11	301301	337024	pmex
chr11	337694	337696	pmex
chr11	363797	365884	pmex
chr11	371855	371857	pmex
chr11	374321	374323	pmex
chr11	375072	375074	pmex
chr11	375274	375276	pmex
chr11	384480	384482	pmex
chr11	388772	388774	pmex
chr11	391000	391002	pmex
chr11	391808	391810	pmex
chr11	399083	399085	mix
chr11	401869	401871	pmex
chr11	407785	407787	pmex
chr11	410258	410260	pmex
chr11	420411	420413	pmex
chr11	427716	427718	pmex
chr11	454387	454389	mix
chr11	471344	497299	pmex
chr11	507200	507202	pmex
chr11	516989	516991	pmex
chr11	526236	526238	pmex
chr11	527409	527411	pmex
chr11	529041	529043	pmex
chr11	529255	529257	mix
chr11	556185	556187	pmex
chr11	558424	566528	pmex
chr11	567460	567462	pmex
chr11	567466	567468	pmex
chr11	567517	616212	pmex
chr11	617436	617438	pmex
chr11	617457	617459	pmex
chr11	617614	624409	pmex
chr11	624757	624759	pmex
chr11	624758	624760	pmex
chr11	633230	649005	pmex
chr11	651630	651632	pmex
chr11	655760	700531	pmex
chr11	700550	700552	pmex
chr11	700681	742408	pmex
chr11	742938	742940	pmex
chr11	748180	766255	pmex
chr11	774722	774724	pmex
chr11	777255	787826	pmex
chr11	787863	787865	pmex
chr11	791624	791626	mix
chr11	794017	812738	pmex
chr11	830450	830452	pmex
chr11	838115	847926	pmex
chr11	853228	853230	pmex
chr11	853232	853234	pmex
chr11	864625	864627	pmex
chr11	870943	870945	mix
chr11	882541	895390	pmex
chr11	895883	895885	pmex
chr11	895901	895903	pmex
chr11	896581	936047	pmex
chr11	940274	940276	mix
chr11	940299	1079241	pmex
chr11	1079382	1079384	pmex
chr11	1091223	1103110	pmex
chr11	1115783	1115785	mix
chr11	1119933	1119935	pmex
chr11	1137761	1137763	pmex
chr11	1140608	1184464	pmex
chr11	1196737	1196739	pmex
chr11	1198568	1261318	pmex
chr11	1261356	1261358	pmex
chr11	1266554	1321096	pmex
chr11	1321362	1321364	pmex
chr11	1325483	1325485	pmex
chr11	1332060	1332062	pmex
chr11	1332702	1332704	pmex
chr11	1335244	1512867	pmex
chr11	1513087	1513089	mix
chr11	1519396	1545705	pmex
chr11	1545774	1545776	pmex
chr11	1572263	1606884	pmex
chr11	1608572	1608574	mix
chr11	1609336	1742508	pmex
chr11	1742588	1742590	mix
chr11	1742723	1833298	pmex
chr11	1839996	1839998	mix
chr11	1856864	1862641	pmex
chr11	1865908	1865910	pmex
chr11	1867274	1876578	pmex
chr11	1877610	1877612	mix
chr11	1877622	1877624	mix
chr11	1880436	2022826	pmex
chr11	2023352	2023354	pmex
chr11	2023360	2106607	pmex
chr11	2107377	2107379	pmex
chr11	2149370	2208526	pmex
chr11	2213527	2213529	pmex
chr11	2223503	2229741	pmex
chr11	2234415	2234417	pmex
chr11	2236188	2236190	pmex
chr11	2239679	2239681	pmex
chr11	2239697	2239699	pmex
chr11	2244721	2244723	pmex
chr11	2252870	2252872	pmex
chr11	2254788	2254790	pmex
chr11	2255209	2283248	pmex
chr11	2284518	2284520	pmex
chr11	2287201	2298455	pmex
chr11	2302818	2302820	pmex
chr11	2302871	2302873	mix
chr11	2304273	2306989	pmex
chr11	2311320	2311322	pmex
chr11	2316516	2324144	pmex
chr11	2342008	2342010	mix
chr11	2344993	2394865	pmex
chr11	2410889	2457184	mix
chr11	2467825	2530812	pmex
chr11	2541933	2556719	pmex
chr11	2557777	2557779	pmex
chr11	2568376	2568378	pmex
chr11	2570332	2570334	pmex
chr11	2580181	2580183	mix
chr11	2584354	2584356	mix
chr11	2587950	2587952	pmex
chr11	2591444	2601065	pmex
chr11	2605669	2605671	mix
chr11	2612035	2612037	pmex
chr11	2624590	2624592	pmex
chr11	2625677	2625679	pmex
chr11	2630749	2648819	pmex
chr11	2649938	2649940	pmex
chr11	2653191	2716535	pmex
chr11	2769986	2769988	pmex
chr11	2770392	2770394	pmex
chr11	2776456	2796492	pmex
chr11	2797943	2797945	mix
chr11	2844307	2852119	pmex
chr11	2858247	2858249	mix
chr11	2860090	3034342	pmex
chr11	3035889	3035891	mix
chr11	3038901	3093849	pmex
chr11	3094737	3094739	mix
chr11	3094920	3101329	pmex
chr11	3182499	3182501	pmex
chr11	3182508	3182510	pmex
chr11	3260537	3260539	pmex
chr11	3320653	3320655	plat
chr11	3325066	3325068	pmex
chr11	3328721	3328723	pmex
chr11	3331802	3331804	pmex
chr11	3398561	3398563	plat
chr11	3409036	3409038	plat
chr11	3428113	3428115	pmex
chr11	3486321	3486323	pmex
chr11	3496593	3496595	pmex
chr11	3501945	3501947	pmex
chr11	3595193	3595195	pmex
chr11	3621094	3621096	pmex
chr11	3667271	3667273	pmex
chr11	3720091	3720093	pmex
chr11	3790036	3790038	plat
chr11	3802731	3802733	pmex
chr11	3823210	3823212	pmex
chr11	3913198	3913200	pmex
chr11	3918615	3918617	plat
chr11	3972598	3972600	pmex
chr11	4034376	4034378	pmex
chr11	4034380	4034382	pmex
chr11	4049789	4049791	pmex
chr11	4056127	4056129	pmex
chr11	4059284	4059311	pmex
chr11	4062343	4062345	pmex
chr11	4078988	4078990	plat
chr11	4236981	4236983	pmex
chr11	4236987	4236989	pmex
chr11	4242722	4242724	pmex
chr11	4242724	4242726	pmex
chr11	4244020	4244022	pmex
chr11	4260645	4260647	plat
chr11	4285357	4285359	pmex
chr11	4342348	4342350	plat
