chr	start	end	group
chr8	234827	234829	pmex
chr8	234833	234835	pmex
chr8	257742	257744	plat
chr8	326117	326119	pmex
chr8	326137	326139	pmex
chr8	353989	353991	plat
chr8	355702	355704	pmex
chr8	358738	358740	pmex
chr8	366314	367200	pmex
chr8	368191	368193	pmex
chr8	368427	392836	pmex
chr8	412674	412676	pmex
chr8	415280	434623	pmex
chr8	436965	436967	mix
chr8	436976	436978	mix
chr8	439349	465622	pmex
chr8	469567	469569	pmex
chr8	472740	544122	pmex
chr8	544254	544256	pmex
chr8	546181	567781	pmex
chr8	569472	569474	mix
chr8	573116	613465	pmex
chr8	613530	613532	mix
chr8	617289	808977	pmex
chr8	809222	809224	mix
chr8	810910	901428	pmex
chr8	901836	901838	mix
chr8	903777	903779	mix
chr8	905933	980832	pmex
chr8	981440	981442	pmex
chr8	982074	995482	pmex
chr8	996191	996193	pmex
chr8	996349	996351	pmex
chr8	1000852	1001943	pmex
chr8	1023574	1023576	pmex
chr8	1031080	1031082	plat
chr8	1051815	1051817	pmex
chr8	1117102	1117104	plat
chr8	1146829	1146831	pmex
chr8	1182556	1182558	pmex
chr8	1182558	1182560	pmex
chr8	1184814	1184816	plat
chr8	1187782	1187784	plat
chr8	1190481	1190483	pmex
chr8	1194964	1194966	plat
chr8	1194971	1194973	plat
chr8	1206701	1206703	plat
chr8	1213200	1213202	mix
chr8	1228667	1228669	pmex
chr8	1255732	1255734	pmex
chr8	1309419	1309421	pmex
chr8	1315617	1315619	pmex
chr8	1315618	1315620	pmex
chr8	1318310	1318312	pmex
chr8	1325093	1325095	plat
chr8	1356773	1356775	pmex
chr8	1357097	1357099	plat
chr8	1370269	1370271	pmex
chr8	1380116	1380118	pmex
chr8	1437999	1438001	plat
chr8	1488430	1488432	plat
chr8	1516334	1516336	plat
chr8	1516336	1516338	plat
chr8	1549742	1549744	plat
chr8	1557035	1557037	pmex
chr8	1648465	1648467	pmex
chr8	1688926	1688928	plat
chr8	1701957	1701992	pmex
chr8	1727745	1727747	pmex
chr8	1769818	1769820	plat
chr8	1794213	1794215	mix
chr8	1832996	1832998	plat
chr8	1832998	1833000	plat
chr8	1836033	1836035	plat
chr8	1838144	1838146	pmex
chr8	1852698	1852700	plat
chr8	1866284	1866286	plat
chr8	1887648	1887650	pmex
chr8	1925974	1925976	pmex
chr8	1936583	1936585	pmex
chr8	1998857	1998859	pmex
chr8	2009026	2009028	pmex
chr8	2009039	2009041	pmex
chr8	2033737	2033739	pmex
chr8	2064725	2064727	plat
chr8	2073176	2073178	plat
chr8	2081994	2081996	pmex
chr8	2113091	2113093	pmex
chr8	2117643	2117645	pmex
chr8	2141970	2141972	plat
chr8	2143563	2143565	plat
chr8	2156379	2156381	plat
chr8	2299530	2299532	pmex
chr8	2299550	2299552	pmex
chr8	2366638	2366640	plat
chr8	2406582	2406584	pmex
chr8	2411354	2411356	pmex
chr8	2439282	2439284	plat
chr8	2450880	2450882	plat
chr8	2451262	2451293	pmex
chr8	2463325	2463327	plat
chr8	2465634	2465636	plat
chr8	2495585	2495587	plat
chr8	2584903	2584905	pmex
chr8	2590191	2590193	pmex
chr8	2688180	2688182	mix
chr8	2696681	2715382	pmex
chr8	2724325	2724327	pmex
chr8	2724328	2724330	pmex
chr8	2767419	2767421	pmex
chr8	2776109	2776111	plat
chr8	2781823	2781825	pmex
chr8	2782107	2782109	plat
chr8	2819392	2819394	pmex
chr8	2828343	2828345	plat
chr8	2828345	2828347	plat
chr8	2830503	2830505	pmex
chr8	2842159	2842161	plat
chr8	2877517	2877519	plat
chr8	2921023	2921025	plat
