chr	start	end	group
chr22	168293	168295	pmex
chr22	168301	168303	pmex
chr22	174676	174678	pmex
chr22	185241	185243	pmex
chr22	191524	191526	plat
chr22	277489	277491	pmex
chr22	364878	364880	plat
chr22	439848	439850	plat
chr22	475722	475724	pmex
chr22	483324	483326	pmex
chr22	484820	484822	pmex
chr22	603782	603794	plat
chr22	621773	627139	plat
chr22	661834	661836	pmex
chr22	667133	667135	plat
chr22	675571	675573	plat
chr22	722444	722446	pmex
chr22	723640	723642	plat
chr22	730651	730653	pmex
chr22	747995	747997	mix
chr22	771880	771882	pmex
chr22	816020	816022	pmex
chr22	825126	825128	pmex
chr22	825127	825129	pmex
chr22	859319	859321	pmex
chr22	1005135	1005137	plat
chr22	1015203	1015205	pmex
chr22	1019451	1019494	plat
chr22	1020876	1020878	pmex
chr22	1148000	1148002	plat
chr22	1249727	1249729	plat
chr22	1268205	1268207	plat
chr22	1277410	1277412	plat
chr22	1355014	1355016	pmex
chr22	1363223	1363225	pmex
chr22	1363229	1363231	pmex
chr22	1369031	1369033	plat
chr22	1369034	1369036	plat
chr22	1393810	1393812	plat
chr22	1412122	1412124	plat
chr22	1436662	1436664	pmex
chr22	1465402	1465404	plat
chr22	1485104	1485106	pmex
chr22	1488632	1488634	pmex
chr22	1514964	1514966	plat
chr22	1576039	1576041	pmex
chr22	1583569	1583571	pmex
chr22	1583582	1583584	pmex
chr22	1625742	1625744	pmex
chr22	1716176	1716178	pmex
chr22	1754875	1754877	plat
chr22	1828668	1828670	plat
chr22	1832053	1832055	pmex
chr22	1835789	1835791	pmex
chr22	1926517	1926519	pmex
chr22	1957351	1957353	plat
chr22	1984864	1984866	pmex
chr22	1992549	1992551	plat
chr22	2047698	2047700	plat
chr22	2098554	2098556	plat
chr22	2104654	2104656	pmex
chr22	2114435	2114437	pmex
chr22	2142079	2142081	plat
chr22	2260539	2260541	pmex
chr22	2317485	2317487	pmex
chr22	2320846	2320848	pmex
chr22	2425496	2425498	plat
chr22	2431872	2431874	plat
chr22	2436997	2436999	pmex
chr22	2456362	2456364	plat
chr22	2460111	2460113	pmex
chr22	2496876	2496878	plat
chr22	2501983	2501985	plat
chr22	2525830	2525832	pmex
chr22	2528049	2528051	plat
chr22	2569988	2569990	plat
chr22	2569996	2569998	plat
chr22	2582712	2582714	pmex
chr22	2583775	2583777	plat
chr22	2618038	2618040	plat
