chr	start	end	group
chr3	482202	482204	plat
chr3	522516	522518	pmex
chr3	535056	535058	plat
chr3	535059	535061	plat
chr3	662648	662650	pmex
chr3	662650	662652	pmex
chr3	764582	764584	pmex
chr3	878670	878672	plat
chr3	917053	917055	plat
chr3	917083	917085	plat
chr3	1000396	1000398	plat
chr3	1047350	1047352	plat
chr3	1137730	1137732	pmex
chr3	1137750	1137752	pmex
chr3	1181039	1181041	pmex
chr3	1217007	1217009	pmex
chr3	1239593	1239595	pmex
chr3	1242482	1242484	pmex
chr3	1247043	1247045	pmex
chr3	1287224	1287226	pmex
chr3	1327154	1327156	plat
chr3	1361599	1361601	pmex
chr3	1386124	1386126	pmex
chr3	1388667	1388669	pmex
chr3	1388668	1388670	pmex
chr3	1417876	1417878	pmex
chr3	1451128	1451130	pmex
chr3	1451130	1451132	pmex
chr3	1470766	1470768	pmex
chr3	1491021	1491023	plat
chr3	1491333	1491335	pmex
chr3	1501142	1501144	pmex
chr3	1560455	1560457	plat
chr3	1567706	1567708	pmex
chr3	1567720	1567722	pmex
chr3	1607966	1607968	pmex
chr3	1684458	1684460	plat
chr3	1707652	1707654	plat
chr3	1745310	1745312	pmex
chr3	1830114	1830116	plat
chr3	1844544	1844546	pmex
chr3	1857074	1857076	pmex
chr3	1915208	1915210	pmex
chr3	1917378	1917380	plat
chr3	1922403	1922405	pmex
chr3	1931409	1931411	pmex
chr3	1943898	1943900	pmex
chr3	2034796	2034798	pmex
chr3	2055075	2055077	plat
chr3	2090419	2090421	plat
chr3	2105355	2105357	plat
chr3	2108032	2108034	pmex
chr3	2183092	2183094	mix
chr3	2250348	2250350	plat
chr3	2271337	2271339	plat
chr3	2283178	2283180	plat
chr3	2283426	2283428	plat
chr3	2291858	2291860	plat
chr3	2347957	2347959	pmex
chr3	2347962	2347964	pmex
chr3	2385406	2385408	pmex
chr3	2476977	2476979	pmex
chr3	2523629	2523631	pmex
chr3	2528991	2528993	pmex
chr3	2601374	2601376	pmex
chr3	2601387	2601389	plat
chr3	2601391	2601393	plat
chr3	2601409	2601411	mix
chr3	2627247	2627249	pmex
chr3	2633183	2633185	plat
chr3	2725192	2725194	pmex
chr3	2755126	2755128	pmex
chr3	2762278	2762280	pmex
chr3	2762288	2762290	pmex
chr3	2817891	2817893	pmex
chr3	2843716	2843718	plat
chr3	2933149	2933151	plat
chr3	2939629	2939631	pmex
chr3	2942964	2942966	pmex
chr3	2988236	2988238	plat
chr3	3015940	3015942	plat
chr3	3036177	3036179	plat
chr3	3165308	3165310	plat
chr3	3191634	3191636	plat
chr3	3267773	3267775	pmex
chr3	3308738	3308740	mix
chr3	3347563	3347565	plat
chr3	3347569	3347571	plat
chr3	3392784	3392786	pmex
chr3	3396349	3396351	plat
chr3	3407718	3407720	pmex
chr3	3407734	3407736	pmex
chr3	3464007	3464009	pmex
chr3	3464102	3464104	pmex
chr3	3500998	3501000	plat
chr3	3501026	3501028	plat
chr3	3516754	3516756	pmex
chr3	3588935	3588937	plat
chr3	3600017	3600019	plat
chr3	3627266	3627268	pmex
chr3	3665344	3665346	plat
chr3	3690475	3690477	plat
chr3	3704346	3704348	plat
chr3	3722422	3722424	pmex
chr3	3722424	3722426	pmex
chr3	3725415	3725417	plat
chr3	3741753	3741755	pmex
chr3	3771596	3771598	pmex
chr3	3771605	3771607	pmex
chr3	3815175	3815177	pmex
chr3	3826153	3826155	pmex
chr3	3860128	3860130	pmex
chr3	3861081	3861083	pmex
chr3	3934437	3934439	pmex
chr3	3964719	3964721	pmex
chr3	3991367	3991369	pmex
chr3	4033544	4033546	pmex
chr3	4065114	4065116	mix
chr3	4085447	4085449	pmex
chr3	4085909	4085911	pmex
chr3	4085917	4085919	pmex
chr3	4124504	4124506	pmex
