chr	start	end	group
chr5	39753	39755	plat
chr5	47765	47767	plat
chr5	89776	94726	pmex
chr5	418641	418643	plat
chr5	491464	491466	plat
chr5	491467	491469	plat
chr5	497766	497768	pmex
chr5	524075	524077	pmex
chr5	544707	544709	plat
chr5	598975	598977	plat
chr5	600578	600580	plat
chr5	604916	604918	pmex
chr5	609513	609515	plat
chr5	628474	628476	pmex
chr5	637637	637639	plat
chr5	653809	653811	plat
chr5	663408	663410	plat
chr5	665103	665105	pmex
chr5	665116	665118	pmex
chr5	665953	665955	pmex
chr5	676342	676344	plat
chr5	746404	746406	pmex
chr5	756963	756965	pmex
chr5	758342	758344	pmex
chr5	774226	774228	plat
chr5	777085	777087	pmex
chr5	780619	780621	pmex
chr5	845690	845692	pmex
chr5	845692	845694	pmex
chr5	848474	848476	plat
chr5	869483	869485	pmex
chr5	900431	900433	pmex
chr5	900451	900453	pmex
chr5	918299	918301	plat
chr5	921126	921128	pmex
chr5	921129	921131	pmex
chr5	928145	928147	pmex
chr5	928536	928538	plat
chr5	939434	939436	plat
chr5	939442	939444	plat
chr5	947610	947612	pmex
chr5	956985	956987	plat
chr5	976907	976909	pmex
chr5	1000353	1000355	plat
chr5	1029712	1029714	pmex
chr5	1034142	1034144	pmex
chr5	1042478	1042480	pmex
chr5	1092820	1092822	plat
chr5	1094667	1094669	pmex
chr5	1095476	1095478	plat
chr5	1100943	1100945	pmex
chr5	1132743	1132745	plat
chr5	1132755	1132757	plat
chr5	1149192	1149194	plat
chr5	1165342	1165344	plat
chr5	1182350	1182352	pmex
chr5	1204326	1204328	pmex
chr5	1211093	1211095	plat
chr5	1237563	1237565	pmex
chr5	1261318	1261320	plat
chr5	1268125	1268127	pmex
chr5	1279303	1279305	pmex
chr5	1316391	1316393	pmex
chr5	1316402	1316404	pmex
chr5	1325767	1325769	pmex
chr5	1325772	1325774	pmex
chr5	1360678	1360680	pmex
chr5	1371108	1371110	pmex
chr5	1407118	1407120	pmex
chr5	1410829	1410831	plat
chr5	1410971	1410973	pmex
chr5	1444617	1444619	pmex
chr5	1456787	1456789	mix
chr5	1486048	1486050	pmex
chr5	1519497	1519499	pmex
chr5	1540218	1540220	plat
chr5	1540471	1540473	pmex
chr5	1552649	1552651	pmex
chr5	1556657	1556659	pmex
chr5	1559631	1559633	pmex
chr5	1576583	1576585	pmex
chr5	1623406	1623408	plat
chr5	1632825	1632827	plat
chr5	1639129	1639131	pmex
chr5	1639976	1639978	plat
chr5	1666772	1666774	pmex
chr5	1696625	1696627	pmex
chr5	1702706	1702708	plat
chr5	1708283	1708285	plat
chr5	1710508	1710510	mix
chr5	1770675	1770677	plat
chr5	1868378	1868390	pmex
chr5	1868682	1868684	pmex
chr5	1868683	1868685	pmex
chr5	1870992	1870994	pmex
chr5	1886006	1886008	pmex
chr5	1911726	1911728	plat
chr5	1915915	1915917	pmex
chr5	1921868	1921870	plat
chr5	1921870	1921872	plat
chr5	1960786	1960788	pmex
chr5	1960860	1960862	pmex
chr5	2001271	2001273	pmex
chr5	2041094	2041096	plat
chr5	2065921	2065923	plat
chr5	2094016	2094018	pmex
chr5	2135951	2135953	pmex
chr5	2156259	2156261	plat
chr5	2178149	2178151	plat
chr5	2178179	2178181	pmex
chr5	2178180	2178182	pmex
chr5	2179952	2179954	pmex
chr5	2179958	2179960	pmex
chr5	2183349	2183351	pmex
chr5	2183352	2183354	pmex
chr5	2205146	2205148	pmex
chr5	2205154	2205156	pmex
chr5	2206742	2206744	pmex
chr5	2208630	2208632	pmex
chr5	2233974	2233976	pmex
chr5	2233977	2233979	pmex
chr5	2296839	2296841	pmex
chr5	2302998	2303000	pmex
chr5	2355991	2355993	mix
chr5	2375639	2375641	pmex
chr5	2392831	2392833	plat
chr5	2403467	2403469	pmex
chr5	2420334	2420336	plat
chr5	2437636	2437638	plat
chr5	2458247	2458249	pmex
chr5	2458254	2458256	pmex
chr5	2477158	2477160	pmex
chr5	2484985	2484987	plat
chr5	2485260	2485262	plat
chr5	2508374	2508376	plat
chr5	2512917	2512919	pmex
chr5	2562182	2562184	plat
chr5	2562185	2562187	plat
chr5	2633639	2633641	pmex
chr5	2641401	2641403	pmex
chr5	2667016	2667018	pmex
chr5	2667061	2667063	pmex
chr5	2682565	2682567	plat
chr5	2682566	2682568	plat
chr5	2689322	2689324	pmex
chr5	2736921	2736923	plat
chr5	2757565	2757567	pmex
chr5	2777294	2777296	pmex
chr5	2894030	2894032	pmex
chr5	2922647	2922649	pmex
chr5	3016217	3016219	pmex
chr5	3017262	3017264	pmex
chr5	3030216	3030218	pmex
chr5	3034945	3034947	pmex
chr5	3063285	3063287	plat
chr5	3072814	3072816	pmex
chr5	3090443	3090445	pmex
chr5	3142383	3142385	pmex
chr5	3150575	3150577	pmex
chr5	3165627	3165629	plat
chr5	3190921	3190923	pmex
chr5	3191440	3191442	pmex
chr5	3191452	3191454	pmex
chr5	3209752	3209754	pmex
chr5	3209753	3209755	pmex
chr5	3216808	3216810	plat
chr5	3276725	3276727	plat
chr5	3276727	3276729	plat
chr5	3289653	3289655	pmex
chr5	3296452	3296454	pmex
chr5	3333423	3333425	plat
chr5	3385519	3385521	pmex
chr5	3392447	3392449	pmex
chr5	3429091	3429093	plat
chr5	3434004	3434006	pmex
chr5	3440787	3440789	plat
chr5	3447153	3447155	plat
chr5	3470276	3470278	plat
chr5	3482473	3482475	pmex
chr5	3491328	3491330	pmex
chr5	3499696	3499698	plat
chr5	3501864	3501866	pmex
chr5	3515814	3515816	plat
chr5	3542214	3542216	pmex
chr5	3602545	3602547	pmex
chr5	3602614	3602616	plat
chr5	3602615	3602617	plat
chr5	3684901	3684903	pmex
chr5	3688872	3688874	pmex
chr5	3691151	3691153	pmex
chr5	3691607	3691609	pmex
chr5	3713421	3713423	pmex
chr5	3723624	3723659	pmex
chr5	3738751	3738753	plat
chr5	3849343	3849345	pmex
chr5	3866624	3866626	plat
chr5	3866849	3866851	plat
chr5	3890394	3890396	plat
chr5	3902908	3902910	plat
chr5	3902909	3902911	plat
chr5	3908301	3908303	plat
chr5	3908983	3908985	plat
chr5	3944043	3944045	pmex
chr5	3944055	3944057	pmex
chr5	3990180	3990182	plat
chr5	3990508	3990510	plat
chr5	4088906	4088908	pmex
chr5	4128486	4128488	pmex
chr5	4135577	4135579	pmex
chr5	4135581	4135583	pmex
chr5	4176511	4176513	pmex
chr5	4182462	4182464	pmex
chr5	4215406	4215408	plat
