chr	start	end	group
chr16	483973	689783	pmex
chr16	2470728	2470730	plat
chr16	3334480	3334482	pmex
chr16	3730596	3730598	pmex
chr16	4107048	4107050	pmex
chr16	4308248	4308250	pmex
chr16	5113809	5113811	plat
chr16	5113814	5113816	plat
chr16	5191812	5191814	pmex
chr16	5283589	5283591	plat
chr16	5283593	5283595	plat
chr16	5378601	5378603	plat
chr16	5567709	5567711	pmex
chr16	6174473	6174475	plat
chr16	6174476	6174478	plat
chr16	6590800	6590802	plat
chr16	6908722	6908724	plat
chr16	6908894	6908896	plat
chr16	7045770	7045772	plat
chr16	7071210	7107104	plat
chr16	7401481	7401483	plat
chr16	7834436	7834438	plat
chr16	8237726	8237728	plat
chr16	8237729	8237731	plat
chr16	9619461	9619463	plat
chr16	9797894	9797896	plat
chr16	10687445	10687447	plat
chr16	10687450	10687452	plat
chr16	11962242	11962244	pmex
chr16	12682396	12682398	plat
chr16	13025716	13044728	plat
chr16	13868997	13868999	pmex
chr16	13870545	13870547	pmex
chr16	14502636	14502638	pmex
chr16	14796333	14796335	plat
chr16	15711181	15711183	pmex
chr16	15711187	15711189	pmex
chr16	16394074	16394076	pmex
chr16	17056657	17056659	pmex
chr16	18877369	18877371	pmex
chr16	19126386	19126388	pmex
chr16	19126407	19126409	pmex
chr16	19598168	19598170	pmex
chr16	19630362	19630364	plat
chr16	20071635	20071637	plat
chr16	20153414	20153416	pmex
chr16	20290134	20290136	pmex
chr16	20508673	20508675	pmex
chr16	21318658	21318660	pmex
chr16	21534770	21534772	plat
chr16	21644258	21644260	plat
chr16	21644792	21644794	plat
chr16	21788836	21788838	plat
chr16	22163979	22163981	pmex
chr16	22340665	22340667	plat
chr16	22420218	22420220	pmex
chr16	22467747	22467749	pmex
chr16	22564329	22564331	pmex
