chr	start	end	group
chr20	2146089	2146091	pmex
chr20	3164906	3164908	pmex
chr20	4600205	4600207	pmex
chr20	4694532	4694534	pmex
chr20	4694537	4694539	pmex
chr20	4952580	4952582	plat
chr20	5024555	5024557	pmex
chr20	5512863	5512865	pmex
chr20	5920011	5920013	pmex
chr20	5920075	5920077	plat
chr20	7612764	7612766	pmex
chr20	8663011	8663013	pmex
chr20	8718471	8718473	pmex
chr20	8798044	8798046	pmex
chr20	9086185	9086187	pmex
chr20	11454416	11454418	pmex
chr20	12038522	12038524	pmex
chr20	12595391	12595393	pmex
chr20	12745412	12745414	pmex
chr20	14604162	14604164	plat
chr20	14604169	14604171	plat
chr20	14951862	14951864	plat
chr20	14951863	14951865	plat
chr20	15469062	15469064	plat
chr20	15469065	15469067	plat
chr20	17230576	17230578	pmex
chr20	17238953	17238955	plat
chr20	17839391	17839393	pmex
chr20	17839392	17839394	pmex
chr20	18430015	18430017	plat
chr20	19144336	19144338	plat
chr20	19362062	19362064	pmex
chr20	19691015	19691017	plat
chr20	20369041	20369043	pmex
chr20	20413401	20413403	pmex
chr20	21031663	21031665	plat
chr20	21586561	21586563	pmex
chr20	21902612	21904422	pmex
chr20	22587250	22587252	plat
chr20	23198293	23198295	pmex
chr20	23198295	23198297	pmex
chr20	23993656	23993658	pmex
chr20	24130861	24130863	plat
chr20	24631781	24631783	plat
chr20	24703620	24703622	pmex
chr20	24796285	24796287	pmex
chr20	25366650	25366652	plat
chr20	26133010	26133012	pmex
chr20	26876810	26876812	pmex
chr20	27511723	27511725	pmex
chr20	27698689	27698691	pmex
chr20	28134353	28134355	pmex
chr20	29030813	29030815	plat
chr20	29031551	29031553	plat
chr20	29032194	29032196	plat
chr20	29815853	29815855	plat
chr20	29819103	29819105	pmex
chr20	30481844	30481846	pmex
