chr	start	end	group
chr14	481441	481443	plat
chr14	1507549	1507551	plat
chr14	1547282	1547284	pmex
chr14	1666683	1666685	plat
chr14	2047558	2047560	plat
chr14	2374837	2374839	plat
chr14	3240291	3240297	mix
chr14	4138981	4138983	pmex
chr14	4303814	4303816	plat
chr14	4375624	4375626	mix
chr14	4375625	4375627	mix
chr14	4594944	4594946	plat
chr14	6218386	6218388	plat
chr14	6987714	6987716	mix
chr14	7188079	7188081	plat
chr14	7598171	7598173	pmex
chr14	7829930	7829932	mix
chr14	7902948	7902950	plat
chr14	7944180	7944182	plat
chr14	7954061	7954063	plat
chr14	8322880	8322882	pmex
chr14	8322886	8322888	pmex
chr14	8326009	8326011	pmex
chr14	8355265	8355267	pmex
chr14	8664053	8664055	pmex
chr14	9754249	9754251	plat
chr14	9776955	9776957	plat
chr14	11226687	11226689	mix
chr14	11229964	11229966	plat
chr14	11760381	11760383	plat
chr14	11850973	11850975	plat
chr14	12024593	12024595	plat
chr14	12065201	12065203	plat
chr14	12065202	12065204	plat
chr14	12065229	12065231	plat
chr14	12299993	12299995	plat
chr14	12315091	12315093	plat
chr14	12380381	12380383	pmex
chr14	12380580	12380582	pmex
chr14	12408173	12408175	pmex
chr14	12628178	12628180	plat
chr14	12639715	12639717	plat
chr14	12737452	12737454	plat
chr14	12752660	12752662	mix
chr14	12781554	12781556	plat
chr14	12872775	12872777	plat
chr14	12872780	12872782	plat
chr14	12889357	12889359	plat
chr14	13003729	13003731	pmex
chr14	13236902	13236904	pmex
chr14	13472798	13472800	pmex
chr14	13535091	13535093	pmex
chr14	13576464	13576466	plat
chr14	13831764	13831766	plat
chr14	14096384	14096386	plat
chr14	14453948	14453950	plat
chr14	15995238	15995240	plat
chr14	15995255	15995257	plat
chr14	17837928	17837930	pmex
chr14	17935328	17935330	plat
chr14	18132263	18132265	plat
chr14	19136349	19136351	pmex
chr14	19163082	19163084	pmex
chr14	20363600	20363602	pmex
chr14	20426282	20426284	pmex
chr14	20987743	20987745	plat
chr14	21277162	21277164	plat
chr14	21277727	21277729	plat
chr14	21330873	21330875	pmex
chr14	21762818	21762820	pmex
chr14	21811285	21811287	mix
chr14	21896375	21896377	plat
chr14	21896377	21896379	plat
chr14	22547596	22547598	plat
chr14	23057544	23070357	plat
chr14	23082280	23082282	plat
chr14	23082658	23082660	plat
chr14	23202800	23202802	plat
chr14	23292093	23522664	plat
chr14	23795562	23795564	mix
chr14	23804941	23804943	plat
chr14	23804979	23804981	plat
chr14	23807148	23807150	mix
chr14	23882622	23882624	pmex
chr14	24158811	24158813	plat
chr14	25497690	25497692	plat
chr14	25519631	25519633	plat
chr14	25616028	25616030	pmex
chr14	25675805	25675807	pmex
chr14	25675814	25675816	pmex
chr14	26772009	26772011	pmex
chr14	26772011	26772013	pmex
