chr	start	end	group
chr11	17030	17032	plat
chr11	29049	169514	pmex
chr11	305624	305626	pmex
chr11	354691	958075	pmex
chr11	965979	965981	mix
chr11	972174	2348343	pmex
chr11	2420660	2446822	mix
chr11	2483883	2511418	pmex
chr11	2601063	2601065	pmex
chr11	2601764	2601766	pmex
chr11	2625677	2625679	pmex
chr11	2653191	2653193	pmex
chr11	2769757	2769759	pmex
chr11	2852138	2852140	pmex
chr11	2857626	2857628	mix
chr11	2908156	3089818	pmex
chr11	3092542	3092544	mix
chr11	3182499	3182501	pmex
chr11	3331802	3331804	pmex
chr11	3501945	3501947	pmex
chr11	4059309	4059311	pmex
chr11	4386276	4386278	pmex
chr11	4590549	4590551	pmex
chr11	5441549	5441551	pmex
chr11	5446517	5446519	pmex
chr11	5830783	5830785	plat
chr11	6896503	6896505	mix
chr11	7013560	7013562	plat
chr11	7355972	7355974	pmex
chr11	7449249	7449251	plat
chr11	7482475	7482477	plat
chr11	8526070	8526072	plat
chr11	8680969	8680971	pmex
chr11	8997642	8997644	plat
chr11	9165731	9165733	pmex
chr11	9208889	9208891	plat
chr11	10563889	10563891	pmex
chr11	11510702	11510704	pmex
chr11	12054904	12054906	plat
chr11	13039892	13039894	pmex
chr11	15377687	15377689	plat
chr11	15718708	15718710	pmex
chr11	16562700	16562702	plat
chr11	18543083	18543085	plat
chr11	19105330	19105332	plat
chr11	19180508	19180510	plat
chr11	22430716	22430718	pmex
chr11	23264434	23264436	pmex
chr11	23555430	23555432	pmex
chr11	24046029	24046031	pmex
chr11	24879526	24879528	pmex
chr11	25439699	25439701	pmex
chr11	25552252	25552254	plat
chr11	26229024	26229026	pmex
chr11	26442036	26442038	pmex
